^:<name=dn2 footnote=bk>	note
1	၁။ အကြားစကားဟူသည် ကမ္မဋ္ဌာန်းနှလုံးသွင်းခြင်း စာသင်ခြင်း စသည်တို့၏ အကြား၌ဖြစ်သောအလွတ်စကား (ဗြဟ္မဇာလသုတ်အဖွင့် အဋ္ဌကထာ)၊ ငါဘုရားမလာမီ အကြား၌ဖြစ်သော စကား (ပေါဋ္ဌပါဒသုတ်အဖွင့် အဋ္ဌကထာ)။
2	၂။ ဤသင်္ချာအရေအတွက်သည် အပိုဒ် ၈၃-၌ ထင်ရှားလတ္တံ့။
3	၁။ ကုဏ္ဍလသဒ္ဒါသည် ဝေဌန အနက်ဟောကြောင်း ထောမနီခိ အဘိဓာန်၌ လာ၏။
4	၂။ အရပ်ခုနစ်ပါးဟူသည်မှာ လက်ဖမိုး-၂၊ ခြေဖမိုး-၂၊ ပခုံး-၂၊ လည်ကုပ်-၁၊ ဤ ၇-ပါးတို့တည်း။
5	၃။ ပဟုတဇိဝှေါတိ ပုထုလဇိဝှေါ၊ အညေသံ ဇိဝှါ ထူလာပိ ဟောန္တိ ကိသာပိ ရဿာပိ ထဒ္ဓါပိ ဝိသမာပိ၊ မဟာ ပုရိသဿ ပန ဇိဝှါ မုဒု ဒီဃာ ပုထုလာ ဝဏ္ဏသမ္ပန္နာ ဟောတိ။ပ။ ဧဝံ တိလက္ခဏသမ္ပန္နံ ဇိဝှံသန္ဓာယ ပဟုတဇိဝှေါတိ ဝုတ္တံ (မဟာပဒါနသုတ် အဋ္ဌကထာ)။
6	၂။ ဥပ္ပလ = ကြာဖြူ-ကြာနီ-ကြာညို။
7	၁။ အဋ္ဌသဋ္ဌိဘိက္ခုသတသဟဿံ ဟူသော ပါဠိရှိရင်းအတိုင်း ပြန်ဆိုလျှင် ရဟန်းပေါင်း ရှစ်သန်းရှစ်သိန်း ဖြစ်သင့်ပေ၏၊ သို့ရာတွင် ရှစ်သောင်းလေးထောင် နှစ်ကြိမ်သာ ရဟန်းပြုခဲ့သည်ကို ထောက်၍ ဤ၌ တစ်သိန်း ခြောက်သောင်း ရှစ်ထောင်ဟု ပြန်ဆိုထားသည်၊ ဤသင်္ချာကို ပါဠိဖြင့် ပြလျှင် အဋ္ဌသဋ္ဌိသတံ ဘိက္ခုသဟဿံဟု ပြသင့်ပေ၏။
8	၁။ ဥပါဒါန်၏ အကြောင်းဖြစ်သော ဝဋ္ဋမူလ ‘ဝဋ်မြစ်’ တဏှာနှင့် ရှာမှီးခြင်း၏ အကြောင်းဖြစ်သော သမုဒါစာရ ‘မပြတ်ဖြစ် နေသော’ တဏှာတို့ကိုပင် ၂-မျိုးဟု ဆိုသည်။
9	၁။ သမနုပဿတိ ရှု၏ဟူသည်မှာ ဤအရာ၌ ယူဆသည်ကိုပင် ဆိုလိုသည်။
10	၁။ နတ်ပြည်ခြောက်ထပ်ရှိ ကာမာဝစရနတ်တို့ကို အချို့သောနတ်ဟု ဆိုသည်။
11	၂။ ဖုတ်တစ္ဆေသရဲစသော နာနာဘာဝ သတ္တဝါတို့ကို အချို့သော ဝိနိပါတိကဟု ဆိုသည်။
12	၁။ မြတ်စွာဘုရားတို့နှင့်သာ သက်ဆိုင်သော အရဟတ္တမဂ်ဉာဏ် သဗ္ဗညုတဉာဏ်တို့ကို သမ္မာသမ္ဗောဓိဉာဏ်ဟု ဆိုသည်။
13	၁။ သုဂတိ၌သာ ဖြစ်ရန် ကိန်းသေမြဲသော၊ တစ်နည်း ဆင်းရဲ၏အဆုံးသို့ရောက်ရန် ကိန်းသေမြဲသော။
14	၁။ သေသွားသူ၏ လားရာဂတိနှင့် တမလွန်ဘဝ အကြောင်းအရာကို ပြောကြားမှုသည် တရားနှင့် ပြည့်စုံသူတိုင်း ကိုယ်တိုင်ပင် ပြုနိုင်သော အမှုဖြစ်၍ ဘုရားကိုယ်တိုင် ဆောင်ရွက်ရလောက်အောင် ခက်ခဲသော အံ့ဖွယ် အထူးအဆန်းမဟုတ်ဟု ဆိုလို၏။
15	၁။ ဤအရာ၌ ဥမာပုပ္ဖ ပုဒ်၏အနက်ကို အောက်မဲညိုပန်းထက် သာ၍ညိုသော နှမ်းကြတ်ပန်းဟု အဘိဓာန်နိသျသစ်၌ ဆို၏။
16	၁။ အပိုဒ်နံပါတ် ၁၇၉-၌ ဆိုခဲ့ပြီးဖြစ်၍ ဤအရာ၌ ဤစာပိုဒ်မရှိသင့်ပြီ။
17	၂။ ရှေးကမြှုပ်ခဲ့ရာ ပေယျာလတို့၌ ထုတ်ဖော်တတ်စေရန် ဤစာပိုဒ်များကို ဤအရာ၌ ဖော်ပြထားသည်။
18	၁။ အပ္ပမာဒေန သမ္ပာဒေထာတိ သတိအဝိပ္ပဝါသေန သဗ္ဗကိစ္စာနိ သမ္ပာဒေယျာထ-ဟူသော အဋ္ဌကထာနှင့်အညီ သတိတရားဖြင့်ဟု ကရိုဏ်းအနက် ပြန်ဆိုထားသည်။
19	၁။ ပညာမျက်စိငါးပါးဟူသည်ကား ၁-ဗုဒ္ဓစက္ခု = ဘုရားမျက်စိ (အာသယာနုသယဉာဏ်နှင့် ဣန္ဒြိယပရောပရိယတ္တိဉာဏ်)။ ၂ -သမန္တစက္ခု = ထက်ဝန်းကျင် သိမြင်နိုင်သော သဗ္ဗညုတဉာဏ်။ ၃-ဉာဏစက္ခု = သစ္စဉာဏ် ကိစ္စဉာဏ် ကတဉာဏ်ဟူသော ဉာဏ်မျက်စိ။ ၄-ဒိဗ္ဗစက္ခု = နတ်မျက်စိနှင့်တူသော အဘိညာဉ်မျက်စိ။ ၅-ဓမ္မစက္ခု = အောက်မဂ်ဉာဏ် သုံးပါးဟူသော တရား မျက်စိတို့ပေတည်း။
20	၁။ ဂုဏ်ကြီးသူတို့ကို ကိုးကား၍ ပြောဆိုသော တရားစကားတို့ကို အမှားအမှန် ဝေဖန်ဆုံးဖြတ်ရန် နည်းညွှန် ဥပဒေသများဟု ဆိုလိုသည်။
21	၁။ သုကိလန္တရူပေါဟုရှိသော ဥဒါန်းပါဠိနှင့်အညီ အလွန်ပင်ပန်းသော သဘောရှိသည်ဖြစ်၍ဟု ဤသို့လည်း ဖြစ်သင့်၏။
22	၁။ အာယသာယ-ဟူသော ပါဠိရင်းအတိုင်းဆိုလျှင် သံတလားဟု ပြန်ဆိုသင့်၏၊ သို့ရာတွင် သောဝဏ္ဏာယ-ဟူသော အဋ္ဌကထာနှင့်အညီ ရွှေတလားဟု ပြန်ဆိုထားသည်။
