^:<name=mn3 footnote=bk>	note
1	၂။ အချို့မူ၌ ပါရှိ၏။
2	၁။ မိမိအတ္တ သူတစ်ပါးအတ္တ နှစ်ပါးမရှိကြောင်း အတ္တနှစ်ပါးမရှိ၍ မိမိသူ တစ်ပါးအတ္တအနေဖြင့် ကြောင့်ကြစိုက်ဖွယ် အဖြစ်လည်း မရှိကြောင်းကို ပြလိုရင်းဖြစ်သည်၊ ရှုပ်ထွေးသည်။
3	၁။ ကာမဓာတ်- ကာမဘုံ၌ အကျုံးဝင်သော ခန္ဓာငါးပါး။ ရူပဓာတ်- ရူပတစ်ဆယ့်ငါးဘုံ၌ အကျုံးဝင်သော ခန္ဓာငါးပါး။ အရူပဓာတ်- အရူပလေးဘုံ၌ အကျုံးဝင်သော နာp class="footnote"က္ခန္ဓာလေးပါး။
4	၂။ များစွာသောဓာတ်တို့ကို ဝေဖန်ဟောရာ
5	၃။ ဓာတ်, အာယတန, ပဋိစ္စသမုပ္ပါဒ်, ဌာနာဌာန ဤ လေးမျိုးကို အပြန်အလှန်ဟောရာ
6	၄။ ကြေးမုံနှင့်တူသော တရားဒေသနာ
7	၅။ စည်ကြီးနှင့်တူစွာ အမြိုက်တရားတို့ကို ကြွေးကြော်ရာ ဒေသနာ
8	၆။ အတုမဲ့ စစ်အောင်ပွဲနှင့်တူသော ဒေသနာ
9	၁။ အကြားစကားဟူသည် ကမ္မဋ္ဌာန်းနှလုံးသွင်းခြင်း စာသင်ခြင်းစသည်တို့၏ အကြား၌ ဖြစ်သော အလွတ်စကား (ဗြဟ္မဇာလ သုတ်ဖွင့် အဋ္ဌကထာ)။ ငါဘုရားမလာမီ အကြား၌ ဖြစ်သော စကား (ပေါဋ္ဌပါဒသုတ်အဖွင့် အဋ္ဌကထာ)။
10	၁။ ဘဒ္ဒ+ဧကရတ္တ- ဘဒ္ဒ၊ ဝိပဿနာအားထုတ်မှုရှိသောကြောင့် ကောင်းသော။ ဧကရတ္တ၊ ညဉ့်တစ်ညဉ့်။ ဘဒ္ဒေကရတ္တ ဝိပဿနာအားထုတ်မှုရှိသော ကောင်းသော ညဉ့်တစ်ညဉ့်ရှိသော ပုဂ္ဂိုလ်။
